q_A1,q_A2,q_A3,q_A4,q_A5,q_A6,q_A7,q_A8,q_A9,q_A10,q_B1,q_B2,q_B3,q_B4,q_B5,q_B6,q_B7,q_B8,q_B9,q_B10,q_B11,q_B12,q_B13,m_age,m_gender,m_accuracy,m_country,m_source
5,2,5,5,4,4,5,1,1,1,4,4,5,4,4,3,4,3,1,4,1,1,1,26,2,70,GR,1
2,3,3,3,3,3,4,2,2,2,3,2,4,4,4,3,5,5,5,4,4,1,2,21,2,80,GB,1
4,4,4,4,4,4,2,4,3,4,4,2,2,4,4,5,4,3,2,2,2,2,2,18,1,50,GR,1
1,2,2,4,2,2,3,4,3,3,3,3,4,5,3,4,4,4,5,2,4,2,2,18,2,80,PH,1
3,4,4,4,4,4,4,2,2,3,2,3,2,2,4,2,2,4,4,4,2,2,5,41,2,99,US,6
4,5,5,2,4,3,3,2,2,4,5,5,5,5,5,4,5,4,2,5,2,3,2,26,1,75,PL,1
3,1,3,5,1,3,1,3,4,3,3,4,5,5,5,2,1,5,1,4,1,2,1,19,2,100,CN,1
4,4,4,4,4,4,4,4,3,2,3,4,4,5,3,2,4,3,4,4,4,3,2,17,2,97,US,6
4,4,2,3,4,4,3,3,3,2,4,4,4,4,4,4,2,3,2,2,2,2,2,36,2,90,US,1
4,4,4,4,4,4,4,3,2,1,4,4,5,5,5,4,5,5,2,2,2,1,1,42,2,95,ZA,1
5,5,5,4,3,5,5,2,1,1,3,3,2,4,2,4,3,5,4,3,2,2,1,20,2,60,MY,1
4,4,4,5,5,4,5,2,2,2,4,4,5,5,5,4,5,4,2,2,1,1,1,22,2,100,US,1
4,4,4,4,2,3,4,2,2,3,4,3,4,3,4,4,4,3,4,4,2,3,2,21,1,84,DK,1
4,5,4,2,4,4,4,2,2,4,4,4,5,5,4,4,4,4,2,2,2,2,2,26,2,95,IN,1
5,5,4,4,4,3,4,2,2,5,4,5,5,4,4,4,4,4,4,5,4,3,2,19,2,87,US,6
4,4,4,4,2,4,3,2,2,2,4,4,4,4,1,3,2,5,3,1,2,4,2,33,1,90,IN,1
4,5,5,4,5,4,4,2,1,1,2,3,4,4,4,2,4,4,2,2,3,1,2,21,2,97,IN,1
5,5,5,4,4,5,4,2,1,3,5,5,4,5,5,5,4,4,2,3,1,1,1,34,2,75,GB,1
5,5,5,5,4,4,5,3,1,1,1,1,5,3,5,3,1,3,3,4,5,1,5,20,2,80,GB,2
5,4,5,4,5,4,4,3,1,2,3,5,5,4,5,4,3,4,1,2,1,1,1,24,1,95,CH,1
3,2,4,5,2,4,4,2,2,2,4,4,4,5,4,4,2,4,2,4,2,5,1,30,2,75,AE,1
4,3,5,5,3,5,4,1,1,3,5,5,5,5,5,5,5,5,5,1,5,1,1,21,2,90,US,1
4,4,5,4,4,4,4,4,3,1,5,5,5,5,5,4,5,5,1,1,1,1,1,18,2,100,US,1
